timestamp,views_count,views_uniques,clones_count,clones_uniques
2024-06-20,60,4,8,1
2024-06-21,10,2,10,2
2024-06-22,103,9,68,14
2024-06-23,73,34,1,1
2024-06-24,133,28,49,15
2024-06-25,13,4,1,1
2024-06-27,25,5,4,1
2024-06-28,26,9,6,3
2024-06-30,3,3,1,1
2024-07-23,1,1,1,1
2024-08-01,12,2,0,0
2024-08-02,7,2,3,3
2024-08-03,0,0,0,0
2024-08-04,5,1,0,0
2024-08-05,0,0,0,0
2024-08-06,1,1,0,0
2024-08-07,0,0,0,0
2024-08-08,0,0,0,0
2024-08-09,0,0,0,0
2024-08-10,0,0,0,0
2024-08-11,0,0,0,0
2024-08-12,18,2,0,0
2024-08-13,14,5,0,0
2024-08-14,1,1,0,0
2024-08-15,8,3,0,0
